Weight MPG
3436 18
3433 16
3449 17
3086 14
2372 24
2833 22
2774 18
2587 21
2130 27
1835 26
2672 25
2430 24
2375 25
2234 26
2648 21
2130 27
2264 28
2228 25
2046 25
2634 19
3439 16
3329 17
3302 19
3288 18
2962 18
2408 22
3282 19
3139 18
2220 23
2123 28
2074 30
2065 30
1773 31
1613 35
1834 27
1955 26
2278 24
2126 25
2254 23
2408 20
2226 21
2330 19
2933 18
2511 22
2979 21
2189 26
2395 22
2288 28
2506 23
2164 28
2100 27
3121 18
3278 16
2945 18
3021 18
2904 23
1950 26
2789 18
2279 20
2401 21
2379 22
2124 18
2310 19
2472 21
2265 26
1867 29
2158 24
2582 20
2868 19
3399 15
2660 24
2807 20
3102 20
2875 21
2901 19
3336 15
1950 31
2451 26
1836 32
2542 25
2219 29
1963 26
2300 26
1649 31
2003 32
2125 28
2108 24
2246 26
2489 24
2391 26
2000 31
3264 19
3459 18
3432 15
3158 15
3039 21
3221 20
3169 13
2171 29
2639 23
2914 20
2592 23
2702 24
2223 25
2545 24
2984 18
1937 29
3211 19
2694 23
2957 23
2945 22
2671 25
1795 33
2464 28
2220 25
2572 25
2255 26
2202 27
3233 22
3353 22
3012 24
3085 22.5
2035 29
2164 24.5
1937 29
1795 33
3193 17.5
1825 29.5
1990 32
2155 28
2565 26.5
3150 20
3270 19
2930 19
2045 31.5
2155 30
1825 36
2300 25.5
1945 33.5
3425 20.5
1940 29
2740 24.5
2265 26
2755 25.5
2051 30.5
2075 33.5
1985 30
2190 30.5
2815 22
2600 21.5
2720 21.5
1985 43.1
1800 36.1
1985 32.8
2070 39.4
1800 36.1
3365 19.9
3155 20.5
2965 20.2
2720 25.1
3430 20.5
3210 19.4
3380 20.6
3070 20.8
3410 18.1
3425 19.2
3445 17.7
3205 18.1
2155 30
2560 27.5
2300 27.2
2230 30.9
2515 21.1
2745 23.2
2855 23.8
2405 23.9
2830 20.3
3140 17
2795 21.6
3410 16.2
1990 31.5
2135 29.5
3245 21.5
2990 19.8
2890 22.3
3265 20.2
3360 20.6
1925 31.9
1975 34.1
1915 35.7
2670 27.4
3190 27.2
3420 23.9
2200 34.2
2150 34.5
2020 31.8
2130 37.3
2670 28.4
2595 28.8
2700 26.8
2556 33.5
2144 41.5
1968 38.1
2120 32.1
2019 37.2
2678 28
2870 26.4
3003 24.3
3381 19.1
2188 34.3
2711 29.8
2542 31.3
2434 37
2265 32.2
2110 46.6
2800 27.9
2110 40.8
2085 44.3
2335 43.4
2950 36.4
3250 30
1850 44.6
1835 40.9
2145 33.8
1845 29.8
2910 32.7
2420 23.7
2500 35
2905 23.6
2290 32.4
2490 27.2
2635 26.6
2620 25.8
2725 23.5
2385 30
1755 39.1
1875 39
1760 35.1
2065 32.3
1975 37
2050 37.7
1985 34.1
2215 34.7
2045 34.4
2380 29.9
2190 33
2320 34.5
2210 33.7
2350 32.4
2615 32.9
2635 31.6
3230 28.1
3160 30.7
2900 25.4
2930 24.2
3415 22.4
3060 20.2
3465 17.6
2605 28
2640 27
2395 34
2575 31
2525 29
2735 27
2865 24
3035 23
1980 36
2025 37
1970 31
2125 38
2125 36
2160 36
2205 36
2245 34
1965 38
1965 32
1995 38
2945 25
3015 38
2585 26
2835 22
2665 32
2370 36
2950 27
2790 27
2130 44
2295 32
2625 28
2720 31
