year co2 globaltemp
1959 315.97 0.03
1960 316.91 -0.04
1961 317.64 0.05
1962 318.45 0.04
1963 318.99 0.07
1964 319.62 -0.2
1965 320.04 -0.1
1966 321.38 -0.04
1967 322.16 -0.01
1968 323.04 -0.05
1969 324.62 0.06
1970 325.68 0.04
1971 326.32 -0.07
1972 327.45 0.02
1973 329.68 0.16
1974 330.18 -0.07
1975 331.08 -0.01
1976 332.05 -0.12
1977 333.78 0.15
1978 335.41 0.05
1979 336.78 0.12
1980 338.68 0.23
1981 340.1 0.28
1982 341.44 0.09
1983 343.03 0.27
1984 344.58 0.12
1985 346.04 0.08
1986 347.39 0.14
1987 349.16 0.28
1988 351.56 0.35
1989 353.07 0.24
1990 354.35 0.39
1991 355.57 0.38
1992 356.38 0.19
1993 357.07 0.21
1994 358.82 0.28
1995 360.8 0.43
1996 362.59 0.33
1997 363.71 0.46
1998 366.65 0.62
1999 368.33 0.4
2000 369.52 0.4
2001 371.13 0.53
2002 373.22 0.61
2003 375.77 0.6
2004 377.49 0.51
2005 379.8 0.66
2006 381.9 0.59
2007 383.76 0.62
2008 385.59 0.49
2009 387.37 0.59
2010 389.85 0.66
2011 391.63 0.54
2012 393.82 0.57
2013 396.48 0.6
